words,weights
suffering,0.14285714285714285
wonder,0.13333333333333333
disappearâ,0.13333333333333333
Would,0.13333333333333333
notice,0.13333333333333333
mind,0.2222222222222222
haven,0.07692307692307693
far,0.07692307692307693
first,0.07692307692307693
brain,0.07692307692307693
jumps,0.07692307692307693
ending,0.07692307692307693
good,-0.017636986301369863
grandma,0.0273972602739726
supports,0.0273972602739726
So,0.0273972602739726
these,-0.012366818873668188
begin,0.0273972602739726
fall,0.0273972602739726
into,-0.012663268556865243
deeper,0.0273972602739726
state,0.0273972602739726
her,0.028147870144492403
mother,0.0273972602739726
knew,0.0273972602739726
comfort,0.0273972602739726
give,0.0273972602739726
space,0.0273972602739726
really,0.0273972602739726
close,0.0273972602739726
school,0.027890298160568434
next,0.03194103194103194
come,0.02702702702702703
She,0.02702702702702703
asked,0.02702702702702703
why,0.02702702702702703
Because,0.02702702702702703
anymore,0.02702702702702703
had,-0.023666987369061535
planning,0.02702702702702703
attempt,0.02702702702702703
weekend,0.02702702702702703
planned,0.02702702702702703
found,-0.014864864864864864
pregnant,0.02702702702702703
son,0.02702702702702703
saved,0.02702702702702703
5,0.02702702702702703
years,0.02702702702702703
old,0.02702702702702703
started,0.02702702702702703
year,0.02702702702702703
makes,-0.014091680814940577
happy,-0.024329157507312512
blessed,-0.025
Iâ,-0.014081817446842913
glad,-0.025
simple,-0.025
turn,-0.025
hectic,-0.025
fairy,-0.025
tale,-0.025
Thanks,-0.022000000000000002
smile,-0.023809523809523808
special,-0.023809523809523808
person,-0.012846661567660973
world,-0.023809523809523808
thank,-0.08333333333333333
made,-0.014177365508278998
sufferings,-0.027777777777777776
away,-0.027777777777777776
filled,-0.027777777777777776
heart,-0.027777777777777776
unconditional,-0.027777777777777776
amazing,-0.02
worth,-0.02
effortlessly,-0.02
wish,-0.017857142857142856
your,-0.017928004535147393
touch,-0.017857142857142856
source,-0.017857142857142856
infinite,-0.017857142857142856
pleasure,-0.017857142857142856
exhausting,-0.017857142857142856
option,-0.013888888888888888
days,-0.018199233716475097
remember,-0.013888888888888888
sweet,-0.013888888888888888
efforts,-0.013888888888888888
art,-0.017857142857142856
then,-0.016741071428571428
Pablo,-0.017857142857142856
Picasso,-0.017857142857142856
difference,-0.012832497662955723
works,-0.017857142857142856
personal,-0.017857142857142856
such,-0.016129032258064516
charming,-0.016129032258064516
personality,-0.016129032258064516
sad,-0.016129032258064516
feels,-0.016129032258064516
God,-0.011627906976744186
wasnâ,-0.012168739859383451
kind,-0.011627906976744186
wouldnâ,-0.012168739859383451
sent,-0.011627906976744186
particularly,-0.011627906976744186
fond,-0.011627906976744186
send,-0.011627906976744186
almost,-0.011627906976744186
forgotten,-0.011627906976744186
happiness,-0.01777646560077519
mornings,-0.017241379310344827
beautiful,-0.017241379310344827
bright,-0.017241379310344827
no,-0.017241379310344827
dream,-0.0166015625
full,-0.0166015625
realized,-0.015625
comes,-0.015625
Now,-0.015625
i,-0.045454545454545456
message,-0.015550239234449762
between,-0.012790005948839977
am,-0.012790005948839977
7,-0.012790005948839977
happiest,-0.012195121951219513
same,-0.012195121951219513
understand,-0.012195121951219513
sweetest,-0.020833333333333332
cute,-0.020833333333333332
yours,-0.020833333333333332
too,-0.018055555555555554
dear,-0.020833333333333332
list,-0.013157894736842105
unhappy,-0.013157894736842105
came,-0.013157894736842105
blank,-0.013157894736842105
paper,-0.013157894736842105
sending,-0.013157894736842105
youâ,-0.013157894736842105
normal,-0.016666666666666666
checkup,-0.016666666666666666
today,-0.016666666666666666
blood,-0.016666666666666666
sample,-0.016666666666666666
contains,-0.016666666666666666
fault,-0.016666666666666666
Luckily,-0.022727272727272728
donâ,-0.022727272727272728
pay,-0.022727272727272728
bankrupt,-0.022727272727272728
already,-0.022727272727272728
